grid_id,centroid_lon,centroid_lat,mapsheet,obs_sum,spp_rich
350,23.75,-31.25002124,E023S32BB,3,3
351,24.25,-31.25002124,E024S32BB,3,2
352,24.75,-31.25002124,E024S32BB,1,1
353,25.25,-31.25002124,E025S32BB,12,9
354,25.75,-31.25002124,E025S32BB,25,18
355,26.25,-31.25002124,E026S32BB,4,4
357,27.25,-31.25002124,E027S32BB,17,13
358,27.75,-31.25002124,E027S32BB,14,13
359,28.25,-31.25002124,E028S32BB,8,7
360,28.75,-31.25002124,E028S32BB,1,1
362,29.75,-31.25002124,E029S32BB,63,52
363,30.25,-31.25002124,E030S32BB,218,133
374,17.25,-30.75002333,E017S31BB,6,5
375,17.75,-30.75002333,E017S31BB,1,1
376,18.25,-30.75002333,E018S31BB,17,7
377,18.75,-30.75002333,E018S31BB,5,4
378,19.25,-30.75002333,E019S31BB,2,2
380,20.25,-30.75002333,E020S31BB,1,1
383,21.75,-30.75002333,E021S31BB,1,1
384,22.25,-30.75002333,E022S31BB,41,35
385,22.75,-30.75002333,E022S31BB,3,3
386,23.25,-30.75002333,E023S31BB,11,10
387,23.75,-30.75002333,E023S31BB,3,3
388,24.25,-30.75002333,E024S31BB,21,18
389,24.75,-30.75002333,E024S31BB,8,7
390,25.25,-30.75002333,E025S31BB,9,8
391,25.75,-30.75002333,E025S31BB,24,15
392,26.25,-30.75002333,E026S31BB,1,1
393,26.75,-30.75002333,E026S31BB,3,3
394,27.25,-30.75002333,E027S31BB,2,2
395,27.75,-30.75002333,E027S31BB,53,35
396,28.25,-30.75002333,E028S31BB,35,25
398,29.25,-30.75002333,E029S31BB,10,10
399,29.75,-30.75002333,E029S31BB,21,17
400,30.25,-30.75002333,E030S31BB,631,203
401,30.75,-30.75002333,E030S31BB,274,81
411,17.25,-30.25002529,E017S31BB,10,8
412,17.75,-30.25002529,E017S31BB,75,29
413,18.25,-30.25002529,E018S31BB,9,9
417,20.25,-30.25002529,E020S31BB,1,1
424,23.75,-30.25002529,E023S31BB,1,1
425,24.25,-30.25002529,E024S31BB,2,2
427,25.25,-30.25002529,E025S31BB,7,7
428,25.75,-30.25002529,E025S31BB,6,5
429,26.25,-30.25002529,E026S31BB,4,4
431,27.25,-30.25002529,E027S31BB,18,13
433,28.25,-30.25002529,E028S31BB,10,7
434,28.75,-30.25002529,E028S31BB,7,6
435,29.25,-30.25002529,E029S31BB,15,11
436,29.75,-30.25002529,E029S31BB,3,3
437,30.25,-30.25002529,E030S31BB,39,30
438,30.75,-30.25002529,E030S31BB,6557,502
448,17.25,-29.75002714,E017S30BB,12,11
449,17.75,-29.75002714,E017S30BB,84,48
450,18.25,-29.75002714,E018S30BB,13,9
458,22.25,-29.75002714,E022S30BB,1,1
459,22.75,-29.75002714,E022S30BB,1,1
462,24.25,-29.75002714,E024S30BB,1,1
463,24.75,-29.75002714,E024S30BB,7,7
465,25.75,-29.75002714,E025S30BB,3,3
466,26.25,-29.75002714,E026S30BB,2,2
472,29.25,-29.75002714,E029S30BB,137,68
473,29.75,-29.75002714,E029S30BB,135,88
474,30.25,-29.75002714,E030S30BB,557,241
475,30.75,-29.75002714,E030S30BB,7678,853
476,31.25,-29.75002714,E031S30BB,916,246
484,16.75,-29.25002888,E016S30BB,1,1
486,17.75,-29.25002888,E017S30BB,8,4
487,18.25,-29.25002888,E018S30BB,1,1
489,19.25,-29.25002888,E019S30BB,1,1
494,21.75,-29.25002888,E021S30BB,2,2
497,23.25,-29.25002888,E023S30BB,1,1
498,23.75,-29.25002888,E023S30BB,21,13
499,24.25,-29.25002888,E024S30BB,55,23
500,24.75,-29.25002888,E024S30BB,25,16
503,26.25,-29.25002888,E026S30BB,124,73
505,27.25,-29.25002888,E027S30BB,12,10
509,29.25,-29.25002888,E029S30BB,197,119
510,29.75,-29.25002888,E029S30BB,190,93
511,30.25,-29.25002888,E030S30BB,327,182
512,30.75,-29.25002888,E030S30BB,58,46
513,31.25,-29.25002888,E031S30BB,581,264
514,31.75,-29.25002888,E031S30BB,49,39
521,16.75,-28.75003051,E016S29BB,1,1
522,17.25,-28.75003051,E017S29BB,7,3
523,17.75,-28.75003051,E017S29BB,1,1
527,19.75,-28.75003051,E019S29BB,8,8
528,20.25,-28.75003051,E020S29BB,20,13
529,20.75,-28.75003051,E020S29BB,4,4
530,21.25,-28.75003051,E021S29BB,4,4
531,21.75,-28.75003051,E021S29BB,1,1
532,22.25,-28.75003051,E022S29BB,7,7
533,22.75,-28.75003051,E022S29BB,2,2
534,23.25,-28.75003051,E023S29BB,11,10
535,23.75,-28.75003051,E023S29BB,1,1
537,24.75,-28.75003051,E024S29BB,114,67
